language,model,overall,type_DT,type_NA,type_TM
ENG,DeekSeekv3,0.8476717112922002,0.9083475298126065,0.5529490616621984,0.9157166123778502
ENG,gemini-2.0-flash-lite,0.8763678696158324,0.931175468483816,0.6055630026809652,0.9434039087947883
ENG,gemini-2.0-flash,0.8374272409778812,0.8976149914821124,0.5713806970509383,0.8729641693811075
ENG,GPT4.1-Mini,0.8240977881257275,0.8677172061328791,0.6156166219839142,0.8688925081433225
ENG,GPT4.1-Nano,0.8010477299185099,0.8298977853492334,0.6772788203753352,0.8135179153094463
ENG,GPT4.1,0.8160651920838184,0.8841567291311755,0.48994638069705093,0.8868078175895765
UR,Deepseekv3,0.6651338766006984,0.6670357751277683,0.5040214477211796,0.8517915309446255
UR,gemini-2.0-flash-lite,0.6868451688009313,0.7133730834752982,0.514745308310992,0.7691368078175895
UR,gemini-2.0-flash,0.8117578579743888,0.8498296422487224,0.610254691689008,0.8745928338762216
UR,GPT4.1Mini,0.7527357392316647,0.7766609880749574,0.6136058981233244,0.8074104234527687
UR,GPT4.1Nano,0.7183352735739231,0.7264054514480409,0.6652144772117963,0.744299674267101
UR,GPT4.1,0.7537252619324796,0.7770017035775127,0.6152815013404825,0.8106677524429967
